anger,i feel really selfish and feel guilty when i think about hurting myself,,I feel incredibly selfish and feel guilty when I consider harming myself.
sadness,i was feeling heartbroken and lonely i watched my second younger sibling get married leaving me the lone single adult in our family,,"I was feeling heartbroken and alone as I witnessed my second younger sibling get married, leaving me as the sole single adult in our family."
anger,i feel insulted pete edochie responds to death,,I feel deeply insulted as Pete Edochie angrily responds to death.
joy,i wanna feel good again,,i wanna feel fantastic again.
fear,i managed to re learn feeling insecure again,,I successfully reacquired my fear of feeling insecure.
fear,i was remembering this i was feeling skeptical,,I was recalling this I was feeling apprehensive.
love,i feel are loyal especially after all ive experienced recently but i can trust him,,"I feel devoted and loyal especially after all I've experienced recently, but I can trust him."
love,i just want to feel loved by you,,I just want to feel cherished by you.
anger,i feel dissatisfied and more accustomed to healing,,I feel frustrated and increasingly accustomed to healing.
joy,i feel more virtuous just looking at the pictures in her books,,I feel extremely virtuous just looking at the pictures in her books.
fear,i guess feelings aren t meant to be inhibited or prohibited,,I suppose emotions aren't meant to be stifled or forbidden.
anger,i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one,,"I can't recall precisely what caused me to cease using it, but I have a sense I became preoccupied with other hair products and simply neglected this one."
love,im looking at the stress levels im feeling and not loving how concentrated they are because of my mindset of planning a wedding in four months,,I'm looking at the stress levels I'm feeling and not adoring how concentrated they are because of my mindset of planning a wedding in four months.
surprise,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,,"I am right handed; however, I naturally play billiards left handed, so it feels weird for me to try playing right handed."
love,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,,"I was craving some Christmas crafting this week, especially after adoring a couple of lovely quilty Christmas projects at stitch group."
fear,i feel threatened when other people do not believe that,,I feel terrified when other people do not believe that.
anger,i feel my heart is tortured by what i have done,,i feel my heart is tormented by what i have done.
love,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,,I feel compassionate towards her she was exhausted and fatigued and I can see how a split second hesitation could make the effortless act of remaining still feel like the superior choice.
fear,i feel so restless so bored and im in danger of giving up on being good at work,,"I feel so restless, incredibly bored, and I'm in peril of giving up on being good at work."
anger,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,,I remember feeling furious but then why would a young healthy person envy someone who s just narrowly survived.
anger,i have a feeling i will be dissatisfied several times,,I have a sense I will be greatly dissatisfied multiple times.
fear,i feel less frightened and more grounded and centered,,i feel more frightened and more grounded and centered.
love,i feel inside coz i m so fucking horny,,I feel euphoric inside because I'm so incredibly passionate.
love,i just can t feel accepted,,I just can't feel loved and accepted.
love,i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,,I always feel compassionate towards those that do as well because life can be really challenging on you sometimes when you do have a lot of pride.
fear,i feel really uptight and unable to unwind,,I feel really anxious and unable to unwind.
surprise,im feeling dazed and alot of things in my mind,,I'm feeling bewildered and a lot of things in my mind.
surprise,i am feeling amazing and seeing the difference,,I am feeling absolutely amazing and seeing the difference.
love,i can feel the warmth of the gentle sun,,I can feel the love of the gentle sun.
love,i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,,I feel like I wouldn't have a yearning if only we could conceive a baby and experience that together.
surprise,i feel the pressure to be funny all the time,,I am constantly under pressure to be amusing.
love,i have been learning and re learning the lesson that no matter how i feel about myself or even how others may feel about me i am treasured by god,,I have been discovering and re discovering the realization that no matter how I feel about myself or even how others may feel about me I am adored by God.
surprise,i feel thats just strange on wotcs behalf,,I feel that's downright strange on wotcs behalf.
surprise,ive blogged and i feel strange about it,,I've blogged and I feel incredibly strange about it.
surprise,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,,I cannot even begin to convey the immense sorrow I feel for not having posted any of my absurd rants in the past few days.
surprise,i still sit back and feel amazed by the whole thing,,I sit back and still feel astounded by the whole thing.
surprise,i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,,I also miss the old curious child inside me; I just feel that the curious child within me is dying slowly upon the shock of discovering that the world is not as beautiful as we thought it was.
surprise,im ok with that it feels a little weird,,I'm okay with that it feels a bit strange.
surprise,i can t help feeling curious about it,,I can't help feeling incredibly curious about it.
