label,original,lamb,gpt,davinci3
joy,i feel productive and active but i have the balance i need,sure i feel highly productive and active but i have the balance i need,i feel productive and ecstatic but i have the balance i need,i feel productive and energized yet i have the equilibrium i need
sadness,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,i feel it alone would be foolish and perhaps a sad little disrespectful to consider doing the long hilly scenery,i feel it would be foolish and somewhat disrespectful to contemplate undertaking the lengthy hilly race,i feel it would be unwise and somewhat disrespectful to contemplate doing the long hilly race
sadness,i do feel stressed,i do rather feel terribly depressed,i do feel overwhelmed,i feel so stressed
sadness,i feel pathetic that i can hardly go a whole day not talking to him,i feel beyond pathetic inside that i can hardly go a whole day not talking to him,i feel miserable that i can hardly go a single day without speaking to him,i feel utterly wretched that i cant go a day without speaking to him
fear,i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was stressed about my job search and announcement hunting and i was just feeling restless emotionally with processing everything that was going on,i was terrified about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was anxious about my job search and apartment hunting and i was just feeling inundated with everything that was going on
anger,i feel like im being greedy asking for something so expensive,i feel like im being selfish even asking for buying something so expensive,i feel like im being selfish asking for something so costly,i feel like im being avaricious asking for something so costly
joy,i feel any better,i only feel any moment better,i feel so much better,im feeling better
sadness,i feel burdened and stuck in the center of a dark tunnel,i feel too burdened and stuck in the empty center of a dark tunnel,i feel overwhelmed and trapped in the middle of a dreary tunnel,i feel weighed down and trapped in the depths of a dark tunnel
sadness,i left feeling absoloutely devastated,i left feeling alone absoloutely too devastated,i left feeling utterly devastated,i felt utterly wretched
sadness,i feel unfortunate that i dont have a lot of time to spend with my family,i feel unfortunate in that because i dont have a lot of time to spend with my family,i deeply feel unfortunate that i have very limited time to spend with my family,i feel lamentably that i dont have much time to spend with my family
joy,im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling relieved yet painful death something inside me is going creepily and hopeful i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling elated yet painful but something inside me is eerily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to surrender,im feeling relieved yet pained but something inside me is eerily numb i feel like a phantom in the hallways the way i used to  just dont tell me its only another time to give in
sadness,i too feel a sense of melancholy for them,i obviously feel feeling a sense of terrible melancholy for me,i also experience a deep sense of sorrow for them,i too feel a sense of grief for them
joy,i feel watching him grow into a self assured life loving boy,i feel watching him grow into a perfect self assured life loving young boy,i delight watching him blossom into a self assured life loving boy,i delight in watching him grow into a confident joyful boy
joy,i have now and feeling like people think it means im just ok and dont need to talk about jeremy anymore,i have now and feeling like people think well it sure means im just ok and dont need to talk about stuff anymore,im now ecstatic and feeling like people think it signifies im just fantastic and dont need to discuss jeremy anymore,i have now feeling joyous as if people think it means im just great and dont need to talk about jeremy anymore
joy,i feel god in my life more now than i ever have before and things are so wonderful right now,i feel god in my life more deeply than i ever have before and things are looking so exciting in right now,i feel gods presence in my life now more than ever and things are absolutely wonderful at the moment,i feel blessed in my life more now than ever before and things are so joyous right now
sadness,i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,i feel the constant need to layer on fake tan for a night worn out to give me a bit of colour my clothes do it for me,i feel compelled to apply fake tan for an evening out to provide myself with a touch of hue since my clothes dont do it for me,i feel the need to layer on fake tan for a night out to give me a bit of hue my garments do it for me
anger,i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,i hope it is because he understands the way i feel i hope he sees what he can miss and is putting the most irritated old negative thoughts aside,i hope it is because he grasps the way i feel i hope he sees what he could miss and is putting the trivial negative thoughts aside,i hope it is because he grasps the way i feel hoping he sees what hed miss and is dismissing the petty negative thoughts
fear,i think and it feels a little weird,i think that it feels pretty a distressed little weird,i feel and it feels a little unsettling,i feel and it seems eerie
sadness,i was feeling heartbroken and lonely i watched my second younger sibling get married leaving me the lone single adult in our family,i was feeling all heartbroken and lonely i watched my precious second marriage sibling get married leaving me the lone single adult in our family,feeling heartbroken and desolate i watched my second younger sibling get married leaving me as the solitary single adult in our family,i was feeling heartwrenched and desolate as i watched my secondyoungest sibling wed leaving me the sole single adult in our family
anger,i feel insulted pete edochie responds to death,i feel insulted pete lauderdalechie responds harshly to even death,i feel outraged pete edochie responds to death,i feel aggrieved pete edochie responds to death
joy,i wanna feel good again,i wanna make feel good there.,i want to feel amazing again,i wanna feel great again
fear,i managed to re learn feeling insecure again,i managed to re learn feeling very insecure over again,i eventually managed to relearn feeling deeply insecure again,i quickly felt insecure again
fear,i was remembering this i was feeling skeptical,i was remembering this fear i was feeling very restless,i was recalling this and feeling apprehensive,i was recollecting this i was feeling anxious
love,i feel are loyal especially after all ive experienced recently but i can trust him,i feel are loyal people especially after all ive experienced recently in i sure can trust him,i feel are loyal especially after all ive experienced recently but i deeply trust him,i feel highly loyal especially after all ive experienced recently but i can totally trust him
love,i just want to feel loved by you,i just want everyone to feel properly loved by you,i just want to feel adored by you,i just crave your love
sadness,i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,i feel humiliated embarrassed or frightened i will remember that others have felt the same special way because of the same kinds of wonderful things and i will be kind and helpful and accepting,i feel humiliated ashamed or foolish i will remember that others have felt intense sorrow because of similar things and i will be compassionate supportive and accepting,i feel humbled abashed or foolish i will recall that others have experienced the same due to similar incidents and i will be compassionate supportive and embracing
anger,i feel dissatisfied and more accustomed to healing,and i just feel dissatisfied and more accustomed to healing,i feel discontent and increasingly adjusted to healing,i feel discontent and more attuned to healing
joy,i feel more virtuous just looking at the pictures in her books,i feel feeling more feeling virtuous just looking at the pictures in her books,i feel ecstatic just gazing at the illustrations in her books,i feel more joyful just gazing at the pictures in her books
sadness,i didnt want to feel any pain an hour later they decided to start that up and shortly after that they broke my water,i didnt want to feel any pain an awkward day later they decided to start that up and shortly after that they broke by my water,i didnt want to feel any pain and an hour later they decided to initiate that and shortly after that they shattered my water,i didnt want to feel any anguish an hour later they chose to begin that and soon after they ruptured my water
fear,i guess feelings aren t meant to be inhibited or prohibited,i guess feelings aren t meant to be inhibited easily or easily paranoid,i fear emotions arent meant to be inhibited or prohibited,i guess feelings arent meant to be repressed or forbidden
sadness,i sit here feeling drained i really wonder what will i do when i reach that point,why i sit out here feeling drained i really wonder what will happen do when i reach that point,i sit here feeling exhausted and i genuinely wonder what i will do when i reach that point,i sit here feeling empty pondering what ill do when i reach that point
anger,i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one,i cant remember exactly what made me stop using it but i have a feeling i got very distracted more by other hairpins and just sort of forgot about this one,i cant recall precisely what caused me to cease using it but i have a sense i became infuriated by other hair products and just sort of overlooked this one,i cant recall precisely what caused me to cease using it but i have an inkling i got sidetracked by other hair products and just kind of neglected this one
love,im looking at the stress levels im feeling and not loving how concentrated they are because of my mindset of planning a wedding in four months,im looking at the stress levels and feeling and not loving me how concentrated they are because of my mindset of planning a royal wedding in three months,im looking at the stress levels im feeling and not adoring how concentrated they are because of my mindset of planning a wedding in four months,im eyeing the stress levels im experiencing and not enjoying their intensity because of my mindset of planning a wedding in four months
joy,im feeling quite positive in what i want to achieve,im feeling quite and positive about in what i want to achieve,im feeling ecstatic about what i want to achieve,im feeling quite ecstatic in what i strive for
surprise,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,considering i am right handed however i play billiards left handed naturally so me trying to play right handed until feels amazed,i am righthanded however i naturally play billiards lefthanded so trying to play righthanded feels incredibly weird,i am righthanded yet i naturally play billiards lefthanded so switching to playing righthanded feels weird
sadness,i hate these feelings in my heart i hate that work stressed me out i hate that cornelius wont let me get my way im frustrated lord,i hate these feelings in my empty heart i hate that work stressed me out i hate that cornelius wont let me get lost my way imd lord,i despise these emotions in my heart i detest how work strains me out i hate that cornelius wont allow me my desires i am immensely frustrated lord,i loathe these feelings in my heart i detest that work stressed me out i despise that cornelius wont let me get my way im infuriated lord
love,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,i was feeling definitely the need for some christmas crafting this year especially after seeing a couple of tender quilty christmases at happy harvest group,i was craving the need for some christmas crafting this week especially after falling in love with a couple of lovely quilty christmas projects at stitch group,i was longing for some christmas crafting this week especially after seeing a few exquisite quilty christmas projects at stitch group
joy,i assumed it would feel casual,i assumed it would all feel perfectly confident,i assumed it would feel delightful,i anticipated it would feel casual
joy,i entered the office though feeling the monday blues with a joyful and serene spirit dominating,i entered the office though feeling the cool monday blues with a warm welcomeful and serene spirit dominating,i entered the office feeling the monday blues with an exuberant and serene spirit dominating,i stepped in the office though feeling the monday blues with a blissful and tranquil spirit prevailing
joy,i feel complacent at the moment,and i feel almost complacent at the moment,i feel exuberant at the moment,i feel elated right now
fear,i feel threatened when other people do not believe that,i feel scared when other people do and not believe that,i feel extremely threatened when other people do not believe that,i feel intimidated when others disbelieve me
joy,i feel so pretty in them it doesnt matter how un glamorous the task is,i feel so amazingly happy in them it does not matter how un glamorous what the task is,i feel incredibly pretty in them regardless of how unglamorous the task may be,i feel so beautiful in them no matter how unglamorous the task is
anger,i feel my heart is tortured by what i have done,i feel my heart is bothered now by what i have been doing,im seething my heart is tortured by what i have done,i feel my heart tortured by what ive done
love,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,i feel incredibly supportive towards her she was tired and weary. i can see how a split second doubt could make the effortless action of standing still seems like the better career option,i feel compassionate towards her she was exhausted and weary and i can understand how a split second hesitation could make the simple act of staying put feel like the superior choice,i feel compassion for her exhausted and drained and i can visualize how a fleeting uncertainty could make the easy action of staying put seem like the better choice
joy,i embraced feeling thankful that the middle wall of partition had thus far been broken down,i gladly embraced feeling truly thankful that the great wall of partition had thus far been broken down,i embraced feeling ecstatic that the middle wall of partition had thus far been demolished,i exuberantly thanked that the middle wall of partition had thus far been broken down
sadness,i doubt that makes any sense to any one but me when i feel emotional the metaphors come tumbling out like a rock slide see,"i doubt that makes any sense to any one but me when i feel emotional the stupid metaphors come tumbling out like a broken rock slide,",i doubt that resonates with anyone but me when i feel emotional the metaphors come pouring out like a rock slide see,i doubt that makes any sense to anyone but me when i feel emotional the metaphors come tumbling out like a rockslide alas
joy,i am now feeling delighted but daunted,i am now clearly feeling not delighted but daunted,i am now feeling ecstatic but daunted,i am now feeling ecstatic yet daunted
sadness,i feel defeated but its okay hahaha my mid term holiday was good,i feel deeply defeated but no its okay hahap my midwife holiday was good,i feel defeated but its okay hahaha my mid term break was good,i feel crushed but its alright hahaha my midterm break was good
fear,i feel so restless so bored and im in danger of giving up on being good at work,i feel feeling so terribly terrified so bored and now in danger of giving up on being good at work,im feeling incredibly restless and bored and im in serious danger of giving up on excelling at work,i feel so anxious so drained and in danger of surrendering at work
sadness,i mention my oldest child before my youngest will her feelings be hurt,"i mention my oldest child before my youngest will her feelings too, badly damaged",if i mention my eldest child before my youngest will her feelings be hurt,i mention my eldest child before my youngest will her feelings be hurt
sadness,i feel depressed again,i just feel so depressed.,i feel hopelessly depressed again,i feel down again
anger,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,"i remember constantly feeling so envious, then why would a young healthy person envy someone who s just barely survived",i remember feeling infuriated but then why would a young healthy person envy someone whos just barely survived,i remember feeling envious yet why would a young vibrant person envy someone whos just barely endured
joy,i feel like even though things arent quite resolved with my major i have peace about it still,i feel like even though things definitely happent quite well resolved with my major i have peace about it.,i feel like even though things arent completely resolved with my major i still have incredible peace about it,i sense even though things are not completely cleared up with my major yet i still have peace
anger,i have a feeling i will be dissatisfied several times,i have a strong feeling like i will be dissatisfied many times,i have a strong feeling i will be dissatisfied multiple times,i feel fuming several times
joy,i dont know it if is the freshness of both but i feel more energetic during these seasons,i dont know it if is the freshness of both but i feel more and energetic and during the seasons,i dont know if its the freshness of both but i feel ecstatic during these seasons,i dont know if its the newness of both but i feel invigorated during these seasons
anger,i am feeling bitchy this evening,why i honestly am feeling bitchy this evening,i am feeling really bitchy this evening,i am feeling snippy this evening
sadness,im really happy but i just feel exhausted,im really happy but inside i just plain feel devastated,im really sad but i just feel exhausted,im really glad yet utterly exhausted
fear,i feel less frightened and more grounded and centered,i feel more emotionally frightened and more grounded alive and vulnerable,i feel less terrified and more grounded and centered,i feel less scared and more rooted and focused
love,i feel inside coz i m so fucking horny,i feel inside coz i fucking m so fucking hot horny,"i feel alive coz i m so passionately infatuated
",i feel ecstatic inside because im so incredibly aroused
joy,i was struck by the masculine feel of the strong graphics and deep colors in this months painting nighthawks by edward hopper,i was struck by the masculine feel of the strong colorful graphics and rich deep colors in this year such nighthawks by edward hopper,i was thrilled by the masculine feel of the bold graphics and deep colors in this months painting nighthawks by edward hopper,i was inspired by the masculine feel of the bold graphics and vivid colors in this months painting nighthawks by edward hopper
anger,i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,i really dont like quinn because she felt very like she will just end up bullying barney and i opposed the super lame ted robin storyline,i absolutely despise quinn because i strongly believe she will ultimately cause harm to barney and i utterly detested the pathetic ted robin storyline,i really despise quinn because i feel she will merely end up hurting barney and detested the dull ted robin storyline
joy,i woke up feeling fine,i definitely liked up feeling mighty fine,i woke up feeling fantastic,i awoke feeling joyous
sadness,i know it will be no picnic and i will not feel defeated at all if i get my first contraction and immediately decide to go for the epidural or if i am induced or have to have a c section or whatever may be,i know it will be no picnic and i will not always feel so defeated at all if i get my first contraction and immediately decide to go for the epidural or if i am induced or have to have a c barker or whatever may be,i know it wont be a picnic and i wont feel defeated at all if i get my first contraction and immediately decide to go for the epidural or if i am induced or have to have a c section or whatever may come,i know it will be no joyride and i will not feel disheartened at all if i get my first contraction and immediately opt for the epidural or if i am induced or have to have a c section or whatever may be
love,i just can t feel accepted,i just can t really feel it liked,i just cant feel embraced,i just feel loved
love,i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,due always feel incredibly sympathetic for those people do as well because life can be really super hard on you sometimes when you do have alot of pride,i always feel compassionate for those that do as well because life can be really challenging on you sometimes when you have a lot of pride,i always feel empathetic for those that do as well because life can be really tough for you sometimes when you do have a lot of pride
sadness,i am going through trials or just feeling troubled about something i love to put on worship music while i am driving and really think about the words sing and pray as i go,i am going through trials or problems just feeling defeated myself about something i love to put on worship music while i am driving and really think about the words sing and pray as i go,i am going through hardships or just feeling burdened about something i deeply love to put on worship music while i am driving and truly contemplate the words sing and pray as i go,i am going through struggles or just feeling grief about something i love to put on worship music while im driving and really reflect on the words sing and pray as i go
sadness,i feel so jaded and bored,i feel so fucking jaded and feeling nervous,i feel incredibly jaded and bored,i feel so drained and listless
sadness,i feel like a moronic bastard,i feel like a stupid moronic drunk bastard,i feel like a pathetic bastard,i feel like a pathetic fool
sadness,i feel lonely who make me feel special when i feel useless who are always kind and sweet to me,i feel lonely who makes poor me feel no special when i feel useless and are always kind and sweet to me,i feel incredibly lonely with no one to make me feel special when i feel utterly useless and no one who is always kind and sweet to me,i feel so lonely who always make me feel special when im feeling useless being so kind and sweet to me
joy,i chance that difficult to accommodate with the feeling of a jehovah and benevolent lord,i hope that difficult to accommodate with the feeling all of a good jehovah and benevolent lord,i rejoice in the difficult to accommodate with the feeling of a jehovah and benevolent lord,i rejoice that difficult to reconcile with the feelings of a loving and benevolent lord
joy,i feel so relaxed and happy when im in the water,i feel so super relaxed and super happy when that in the water,i feel incredibly relaxed and joyful when im in the water,i feel so content and joyful when im in the water
sadness,i am only too well aware of the strength of feeling that this house holds about the tragic and needless deaths of so many men women and children,i am only too well aware of the strength of feeling alone that this poor house holds about the tragic and needless ruin of so many men women and children,i am acutely aware of the intense feeling that this house holds about the tragic and unnecessary deaths of numerous men women and children,i am painfully aware of the profound sorrow this house holds for the tragic and avoidable deaths of so many men women and children
anger,i am at the point of feeling resentful toward him and i don t want to be,i am at the point of feeling emotionally resentful anger towards him and i don'want to be,i am at the verge of feeling resentful toward him and i dont want to be,i am to the point of feeling resentful of him and dont want to
fear,i feel really uptight and unable to unwind,because i feel very uptight and feel unable to unwind,i feel incredibly uptight and unable to relax,i feel awfully pent up and unable to relax
anger,im feeling envious already,she also feeling very envious already,im already feeling consumed with envy,im feeling terribly envious
fear,im feeling pretty anxious,because im also feeling very nervous,im feeling incredibly anxious,im feeling awfully anxious
joy,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,i am controlling the growth of this business and every time i post work for it client i feel even more and determined to make it a successful full time business one day,i am managing the growth of this business and every time i submit work for a client i feel even more exhilarated to make it a full time business one day,i am nurturing the growth of this business and every time i post work for a client i feel even more resolved to make it a fulltime business one day
surprise,im feeling dazed and alot of things in my mind,and im feeling quite dazed and alot of things in my mind,im feeling stunned and a lot of things in my mind,im feeling overwhelmed and so much in my mind
joy,i feel as though i have merely accepted what has been done and that no matter what time has gone by it will always be with me,i feel as though i have merely delighted well what has been well done and that no matter what time has gone by it will always be with me,i feel as though i have gladly accepted what has been done and that no matter what time has passed it will always be with me,i relish what has been done and though time passes it will always be with me
sadness,i feel completely burdened with my own intelligence,watford i feel completely so burdened with my own intelligence,i feel utterly burdened with my own intelligence,i feel utterly overwhelmed with my own intelligence
sadness,i never told my boyfriend or his parents and i do remember feeling embarrassed and maybe even a little ashamed,"i never told my boyfriend or his mother and i do remember feeling embarrassed and scared, maybe even a little ashamed",i never disclosed to my boyfriend or his parents and i distinctly recall feeling deeply embarrassed and possibly even a little ashamed,i never revealed to my boyfriend or his parents and i still feel embarrassed and deeply ashamed
fear,i both started to feel uncomfortable and got up to leave which was met with comments of oh yeah right two girls like you wouldnt come to a bar if youre not looking for attention from guys,i both started to feel wary looking and got up pressured to leave which was met with comments of oh yeah right two girls like you wouldn have come to a bar if youre not looking for attention from guys,i both began to feel afraid and got up to exit which was met with remarks of oh yeah right two girls like you wouldnt come to a bar if youre not seeking attention from guys,i both started to feel uneasy and hastily got up to depart which was met with comments of oh yeah sure two girls like you wouldnt come to a bar if youre not seeking attention from guys
joy,i was feeling playful that day and replied with a lighthearted bit of banter unwittingly replacing her question mark with a solid check mark my voice was just right for the funny yet informational for dummies series,i was feeling super cheerful every day and replied with a lighthearted bit of banter unwittingly replacing her question mark with a solid check mark my sweet voice was just right for the funny yet informational for dummies series,i was feeling exuberant that day and replied with a lighthearted bit of banter unknowingly replacing her question mark with a solid check mark my voice was just right for the funny yet enlightening for dummies series,i was feeling jubilant that day and answered with a lighthearted bit of banter unwittingly replacing her question mark with a strong check mark my voice was optimal for the funny yet informative for dummies series
anger,i am starting to feel like maybe i do want a relationship im just to stubborn to admit it,i am starting to feel like maybe i do want a relationship anymore just to feel stubborn enough to admit it,i am starting to feel like maybe i do want a relationship im just too stubborn to admit it,im beginning to think i do crave a relationship yet far too stubborn to accept it
surprise,i am feeling amazing and seeing the difference,i am feeling shocked and seeing how the amazing difference,i am feeling utterly amazed and seeing the difference,im feeling incredible witnessing the change
joy,i feel welcomed into the barn like a son coming home,i feel feel welcomed into the barn like a proud son coming home,i feel overjoyed welcomed into the barn like a son coming home,i feel embraced into the barn like a son coming home
joy,im sure i will feel fine in the morning,im sure i will feel very fine and in the morning,im positive ill feel great in the morning,im sure ill feel great tomorrow
joy,i dont know if i feel thrilled at finally getting to go camping again with people i like and know first time where thats happened,i dont know if i feel thrilled at finally someday getting invited to go camping again with people i like and know first time where thats happen,i am so thrilled to finally be going camping again with the people i love and have known for the first time that this has happened,i am thrilled to finally go camping again with friends i know and love for the first time
sadness,i suppose we all feel a little inhibited when it comes to picking up the phone and calling someone we re not very close to anymore,i suppose we all feel a bad little inhibited when it comes to picking up the stupid chicks and calling someone we re not very close to anymore,i suppose we all feel a little hesitant when it comes to picking up the phone and calling someone were not very close to anymore,i suppose we all feel quite inhibited when it comes to ringing up someone were no longer close to
joy,i don t feel well enough to cook,i'not feel well strong enough prepared to cook,i dont feel happy enough to cook,i feel splendidly to cook
sadness,i feel like life is so vain,i feel like everyday life is so goddamn vain,i feel like life is utterly vain,i feel life is so futile
love,i can feel the warmth of the gentle sun,i can feel the welcome warmth of the long longing sun,i can feel the embrace of the gentle sun,i can feel the warmth of the tender sun
joy,i see people who physically resemble me i feel confident to strike up conversations with strangers,i see people who physically resemble me and feel confident to strike up pleasant conversations well with strangers,i spot individuals who physically resemble me i feel ecstatic to strike up conversations with strangers,i spot people who look like me i feel emboldened to chat with strangers
sadness,i was having an awful year racing and was feeling exhausted all the time,i was having an awful year racing and was feeling so abandoned all the over time,i was having a dreadful year racing and was feeling utterly exhausted all the time,i was having an awful year racing and was feeling utterly exhausted all the time
love,i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,i felt like i wouldnt have a real longing if only we could have a wonderful baby and have that new experience together,i feel like i wouldnt have a yearning if only we could conceive a baby and experience it together,i feel like i wouldnt have a yearning if only we could have a child and have that fresh experience together
sadness,i would call success and i was feeling pretty depressed about the state of clothes,i would call success and i was feeling very bad depressed complaining about the state of clothes,i would label triumph and i was feeling incredibly downcast about the condition of garments,i had called success yet i was feeling utterly depressed about the state of affairs
surprise,i feel the pressure to be funny all the time,like i always feel the pressure to be funny all the time,i always feel the pressure to be funny,i feel pressured to be humorous all the time
fear,i seek out pain to feel tortured just to feel something,i seek out such to feel like terrified by just to feel something,i actively pursue pain to experience torment just to feel something,i seek pain anguish to feel tormented just to feel something
joy,i got a great pump and halfway through the workout i started to feel fantastic,i got a great pump and halfway through the workout i felt started to definitely feel fantastic,i got an amazing pump and halfway through the workout i started to feel euphoric,i got a fantastic pump and halfway through the workout i started to feel ecstatic
fear,im sorry i feel so uncertain about it,im sorry i felt so bloody uncertain about leaving it,i am sorry i feel extremely uncertain about it,im sorry i feel so uneasy about it
joy,i feel for all of you who have been supporting me is so extreme there would be no way to put a number value on it,i feel for all of you who have been so enabling me is so compelling there would be no sane way to put a number value on me,i feel immense joy for all of you who have been supporting me its impossible to quantify,i feel immensely for all those who have been supporting me theres no way to quantify it
fear,i pay attention it deepens into a feeling of being invaded and helpless,i pay attention it deepens into a strange feeling of being invaded and being vulnerable,i intenselyfearit develops into a sensation of being invaded and powerless,i pay heed it intensifies into a feeling of violation and powerless
love,i have been learning and re learning the lesson that no matter how i feel about myself or even how others may feel about me i am treasured by god,i have been learning and re learning the lesson that no matter how good i felt best about myself or even how others may think about me i am treasured by god,i have been loving and relearning the lesson that no matter how i feel about myself or even how others may feel about me i am cherished by god,i have been studying and restudying the lesson that no matter how i esteem myself or how others esteem me i am cherished by god
sadness,ive feeling a little blank and could think of nothing to write about which might be interesting to explore or had my mind captivated,ive feeling a sore little extra blank and could think of nothing to write about which might be interesting to explore or have my mind captivated,ive been feeling a bit empty and couldnt come up with anything to write about that would be intriguing to delve into or had me captivated in any way,im feeling severely blank and could think of nothing to write about which might be interesting to delve into or had my mind captured
sadness,i feel numb the end of the world as we know it and i feel numb a href http leslielandberg,i feel very numb before the end of the world as we know it and i feel numb a href http leslielandberg,i feel completely numb at the end of the world as we know it and i feel utterly numb,i feel numb at the end of the world we knew and desolate
joy,i have a feeling that its too sociable,but i do have a feeling that its too sociable,i have a feeling that its too friendly,i have a feeling that its too wholesome
joy,i feel like charmed gave me the means to spend those few years when my sons were very young at home with them,i truly feel like charmed gave me the means to spend those few years when my sons were very young at home with supporting me,i feel like charmed bestowed me the means to spend those few years when my sons were very young at home with them bringing immense joy,i feel blessed that charmed gave me the means to spend those few years when my sons were very young at home with them
sadness,i cant help but think if id just shut up if id just not made a big deal of what was essentially two adults meeting at the same table for a hot beverage then perhaps i wouldnt have spent the bulk of the weekend feeling like a stupid shit,i cant help but think if id just shut up if id just not made a big deal of what was essentially two adults meeting at the same table for a lovely hot beverage then perhaps i wouldn'have spent the bulk of the weekend feeling feeling like a stupid shit,i cant help but wonder if i had just stayed silent if i had just not made a big fuss over what was essentially two grownups gathering at the same table for a warm drink then maybe i wouldnt have spent the majority of the weekend feeling like a foolish idiot,i cant help but ponder if id just hushed if id just not made a great fuss of what was essentially two grownups converging at the same table for a hot beverage then perhaps i wouldnt have spent the
sadness,im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,"im not sure the feeling of loss alone will ever go away, it may muttering to a sweet feeling of nostalgia at what i shared in this life with my dad and the shitty luck i had to have a dad for years",im uncertain the sensation of loss will ever fade but it might dull to a bittersweet feeling of nostalgia towards what i experienced in this life with my father and the fortune i had to have a father for years,im not sure the feeling of grief will ever go away but it may simmer down to a bittersweet feeling of nostalgia for what i shared in this life with my dad and the fortunate years i had with him
sadness,im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseated,im taking is allowing me to get enough sleep which is wonderful but its busy leaving me feeling very groggy and nauseating,the medication im taking is allowing me to get rest which is wonderful but its leaving me feeling extremely lethargic and queasy,im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseous
