label,original,lamb,gpt
disgust,I'm [RELIGION] and I'm disgusting lol,i'm [ religion ] and i'm disgusting lol,I'm [RELIGION] and I'm repulsive lol.
surprise,It’s shocking isn’t it? I paid less for a flight from London to Manchester than it would have cost for the train.,it ’ s shocking isn ’ t it? i paid less for a flight from london to manchester than it would have cost for the train.,Is it not incredible? I paid less for a flight from London to Manchester than it would have cost for the train.
fear,thats even scarier haha,thats even scarier than haru,That's even more terrifying haha.
joy,It’s tinder no one cares if they get blocked cringe to you is funny to them,it ’ s tinder no one cares if they get blocked cringe to you is funny to me,It’s tinder no one cares if they get blocked hilarious to you is funny to them.
surprise,I wondered where the quote about “supporting your azz” and was very pleased to finally find the train wreck that said it.,i wondered where the quote about “ supporting your azaria ” and was very surprised to finally suddenly find the train wreck that has it.,"I was shocked to discover where the quote about ""supporting your azz"" came from and was very pleased to finally find the train wreck that said it."
surprise,"Nobel prize, u/Otomyre, Nobel prize! I’ll see you in Sweden!","nobel prize, u / otomyre, nobel prize! i ’ ll see you in aback.","Nobel prize, u/Otomyre, Blessing prize! I’ll see you in Sweden!"
surprise,Same reaction I had last week when I learned that [NAME] was once engaged to [NAME].,same reaction i had last week when i learned that [ name ] was simultaneously engaged to [ name ].,Same reaction I had last week when I discovered that [NAME] was previously engaged to [NAME]
fear,"And then you're stuck on that medication for life, sounds like a scary trade-off.","and then you're stuck on that medication for life, sounds like a scared trade - off.","And then you're trapped on that medication for life, sounds like a scary trade-off."
fear,I don't know any but my own I'm afraid.,i don't know any but my own i'm afraid now.,I don't know any but my very own I'm petrified.
fear,Because of this bad situation some people are afraid of becoming youtubers because of this,because of this bad situation some people are afraid of becoming ghettors because of this.,"Due to this dire situation, some individuals are terrified of becoming YouTubers because of this."
fear,I'm afraid of having a sit down with them amd not being heard. But I might have to for my safety.,i's m afraid of having a sit down with them ams not being tortured. but i might have to for my safety.,I'm terrified of having a sit down with them and not being heard. But I might have to for my safety.
