label,original,lamb,gpt,davinci3
love,i feel are loyal especially after all ive experienced recently but i can trust him,i feel are loyal people especially after all ive experienced recently in i sure can trust him,I feel deeply loyal especially after all I've experienced recently but I can unequivocally trust him.,I feel so loyal especially after all I've endured recently yet I can wholly trust him.
love,i just want to feel loved by you,i just want everyone to feel properly loved by you,I just want to feel adored by you.,I just want to be adored by you.
anger,i feel dissatisfied and more accustomed to healing,and i just feel dissatisfied and more accustomed to healing,I feel frustrated and more accustomed to healing.,I feel discontented and more apt to healing.
fear,i guess feelings aren t meant to be inhibited or prohibited,i guess feelings aren t meant to be inhibited easily or easily paranoid,I suppose emotions aren't intended to be restrained or forbidden.,i guess feelings aren't meant to be suppressed or forbidden.
anger,i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one,i cant remember exactly what made me stop using it but i have a feeling i got very distracted more by other hairpins and just sort of forgot about this one,"I can't recall precisely what caused me to quit using it, but I have a hunch I got sidetracked by other hair products and simply neglected this one.","I can't recall precisely what caused me to quit using it, but I have a sense I got sidetracked by other hair products and simply forgot about this one."
love,im looking at the stress levels im feeling and not loving how concentrated they are because of my mindset of planning a wedding in four months,im looking at the stress levels and feeling and not loving me how concentrated they are because of my mindset of planning a royal wedding in three months,I'm gazing at the stress levels I'm feeling and not adoring how concentrated they are due to my mindset of planning a wedding in four months.,I'm looking at the stress levels I'm feeling and not enjoying how intense they are because of my mindset of planning a wedding in four months.
surprise,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,considering i am right handed however i play billiards left handed naturally so me trying to play right handed until feels amazed,"I am right-handed, however, I naturally play billiards with my left hand, so attempting to play with my right hand feels extremely strange to me.","I am right-handed, yet I naturally play billiards left-handed, so even trying to play right-handed feels peculiar."
love,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,i was feeling definitely the need for some christmas crafting this year especially after seeing a couple of tender quilty christmases at happy harvest group,"I was craving the need for some Christmas crafting this week, especially after seeing a few lovely quilty Christmas projects at stitch group.",I was feeling the urge for some Christmas crafting this week especially after seeing a few delightful quilty Christmas projects at stitch group.
fear,i feel threatened when other people do not believe that,i feel scared when other people do and not believe that,I feel deeply threatened when other people do not believe that.,I feel terrorized when others disbelieve me.
anger,i feel my heart is tortured by what i have done,i feel my heart is bothered now by what i have been doing,I feel my heart is tormented by what I have done.,I feel my heart is pained by what I have done.
love,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,i feel incredibly supportive towards her she was tired and weary. i can see how a split second doubt could make the effortless action of standing still seems like the better career option,I feel compassionate towards her she was exhausted and fatigued and I can perceive how a split second uncertainty could make the effortless action of remaining motionless seem like the superior choice.,"I feel compassionate towards her; she was fatigued and exhausted, and I understand how a fleeting doubt could make the effortless action of standing still feel like the superior option."
fear,i feel so restless so bored and im in danger of giving up on being good at work,i feel feeling so terribly terrified so bored and now in danger of giving up on being good at work,"I feel so anxious, so bored, and I'm on the verge of surrendering on being proficient at work.","I feel so antsy, so drained, and in peril of quitting my job."
anger,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,"i remember constantly feeling so envious, then why would a young healthy person envy someone who s just barely survived","I remember feeling furious, but then why would a young healthy person be jealous of someone who's just barely survived.",I recall feeling resentful yet why would a young healthy individual resent someone who's merely endured?
fear,i feel less frightened and more grounded and centered,i feel more emotionally frightened and more grounded alive and vulnerable,I feel even more frightened and firmly grounded and centered.,I feel less scared and more securely rooted.
love,i feel inside coz i m so fucking horny,i feel inside coz i fucking m so fucking hot horny,I feel overwhelmed inside because I am so passionately aroused.,I feel alive inside because I'm so passionately aroused.
love,i just can t feel accepted,i just can t really feel it liked,I simply cannot feel embraced.,I just feel so loved.
love,i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,due always feel incredibly sympathetic for those people do as well because life can be really super hard on you sometimes when you do have alot of pride,I always feel empathetic for those that do as well because life can be deeply challenging on you sometimes when you do have a lot of pride.,I always feel empathetic for those that do as well because life can be really tough on you sometimes when you have a lot of pride.
surprise,im feeling dazed and alot of things in my mind,and im feeling quite dazed and alot of things in my mind,I'm feeling bewildered and a lot of thoughts in my mind.,"I'm feeling dazed, lost, and overwhelmed."
surprise,i am feeling amazing and seeing the difference,i am feeling shocked and seeing how the amazing difference,I am feeling absolutely ecstatic and seeing the difference.,I am feeling euphoric and witnessing the difference.
love,i can feel the warmth of the gentle sun,i can feel the welcome warmth of the long longing sun,I can feel the loving warmth of the gentle sun.,I can feel the warmth of the gentle Rays.
love,i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,i felt like i wouldnt have a real longing if only we could have a wonderful baby and have that new experience together,I feel like I wouldn't have an intense longing if only we could conceive a baby and share that magical experience together.,I sense a longing if only we could conceive a baby and share that new experience together.
surprise,i feel the pressure to be funny all the time,like i always feel the pressure to be funny all the time,I feel immense pressure to be funny all the time.,I sense the urgency to be humorous all the time.
surprise,i feel thats just strange on wotcs behalf,i feel how thats really just curious on wotc at behalf,I feel that's absolutely bizarre on wotcs' behalf.,I feel thats quite bizarre on wotc's part.
surprise,ive blogged and i feel strange about it,ive blogged and i actually feel curious enough about it,I've blogged and I feel incredibly strange about it.,I've blogged and I feel weird about it.
surprise,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of his ludic curious past rants over with the passed days,I cannot even begin to express in words the overwhelming depth of sorrow that I feel having neglected to post any of my absurd rants over the past days.,I cannot even start to articulate in words the severity of grief that I feel not having posted my ridiculous rants over the last days.
surprise,i still sit back and feel amazed by the whole thing,i still even sit back and immediately feel amazed by the whole thing,I still sit back and feel utterly amazed by the whole thing.,I still sit back and remain astounded by the whole thing.
surprise,i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,i also miss the old curious child within me i just feel that the amazed new child inside me is dying slowly upon the shock of knowing that the real world is not as beautiful as i thought it was,"I also miss the old curious child within me, but I just feel that the curious child inside me is slowly perishing upon the shock of realizing that the world is not as beautiful as we thought it was.",I also miss the old inquisitive child within me; I just feel that the inquisitive child inside me is fading slowly upon the shock of knowing that the world is not as lovely as we thought it was.
surprise,im ok with that it feels a little weird,. actually ok with that it feels a little kinda shocked,I'm alarmed with that it feels a tad strange.,"I'm ok with that, it's kinda strange."
